age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ALTIS,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,6.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,LEAF,EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,3.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,1.0
25-45,Male,Thai,GENERAL,OTHER STATION,BYD,DOLPHIN,EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,1.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,E:N1,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,1.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,VIOS,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,3_Hatchback,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,ZS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,2_Sedan,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,CIAZ,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,D-Max_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ATIV,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,ATTRAGE,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,3,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,YARIS,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,MIRAGE,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,MARCH,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,SWIFT,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_Sedan,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,BR-V,Non-EV,S,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER_SE_EV,Non-EV,L,EV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER_SE_EV,EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,ALMERA,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,NOTE,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,IX3,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,H-1,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,ZS_EV,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,FORTUNER,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,HS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,LEXUS,UX_300e,EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,PRIUS_HYBRID,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ALPHARD_HYBRID,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,ACCORD,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,SIENTA,Non-EV,S,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,5,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,520D,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C350e_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,KICKS_e-POWER_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CAMRY_HYBRID,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,HR-V,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,SYLPHY,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,MOBILIO,Non-EV,S,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,330E_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ALPHARD,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,EP,EV,XL,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,VELOZ,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,ORA,GOODCAT,EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,XPANDER,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NETA,V,EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,JUKE,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,FORD,EVEREST,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,4,EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,VOLT,CITY,EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,VS_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,220I,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,520I,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BYD,ATTO_3,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,NAVARA_2_DOOR,Non-EV,M,PICK_UP_2_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CAMRY,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,320D,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,INNOVA,Non-EV,L,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,COMMUTER,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,E300e_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,PAJERO_SPORT,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,CX-30,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ALTIS_HYBRID,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,REVO_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,MU-X,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER_S,Non-EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,FORD,RANGER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,VOLVO,XC40,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,AUDI,A5,Non-EV,L,COUPE,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MG,HS_PHEV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
