,age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count,predicted_score
0,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ALTIS,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,6.0,0.0,0.07400455
1,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,LEAF,EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,3.0,0.0,0.031938337
98,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,BRIO,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0016913684
135,25-45,Male,Thai,GENERAL,OTHER STATION,SCANIA,K-SERIES,Non-EV,XL,BUS,WORK HOURS,WEEKEND,No,0.0,0.0,0.0016766572
130,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,BRIO_AMAZE,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0016243989
139,25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,CELERIO,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0016198456
24,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,ALMERA,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0016098432
12,25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,ATTRAGE,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0016069785
11,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,ATIV,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0015895534
2,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,1.0,0.0015875846
9,25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,CIAZ,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0015806276
15,25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,MIRAGE,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0015649954
16,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,MARCH,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.001562723
25,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,NOTE,Non-EV,XS,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0015555285
93,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,URVAN,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0015417151
79,25-45,Male,Thai,GENERAL,OTHER STATION,KIA,Rio,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0015401142
