,userid,age,sex,nationality,usertype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,stationtype,timeofday,dayofweek,holiday,reservation_count,view_count
0,430,25-45,Male,Thai,GENERAL,BMW,320D,Non-EV,L,SEDAN,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
1,430,25-45,Male,Thai,GENERAL,FORD,EVEREST,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
2,430,25-45,Male,Thai,GENERAL,FORD,EVEREST,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKEND,Yes,0.0,1.0
3,430,25-45,Male,Thai,GENERAL,HONDA,ACCORD,Non-EV,L,SEDAN,MEGA STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
4,430,25-45,Male,Thai,GENERAL,HONDA,ACCORD,Non-EV,L,SEDAN,MEGA STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
5,430,25-45,Male,Thai,GENERAL,HONDA,CITY_HYBRID_Sedan,Non-EV,S,SEDAN,MEGA STATION,LATE NIGHT,WEEKEND,No,0.0,1.0
6,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,3.0
7,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,3.0
8,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,MEGA STATION,WORK HOURS,WEEKEND,No,0.0,2.0
9,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
10,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
11,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
12,430,25-45,Male,Thai,GENERAL,HONDA,CR-V,Non-EV,XL,SUV,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
13,430,25-45,Male,Thai,GENERAL,HONDA,CR-V,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKEND,No,0.0,2.0
14,430,25-45,Male,Thai,GENERAL,MAZDA,2_Sedan,Non-EV,S,SEDAN,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
15,430,25-45,Male,Thai,GENERAL,MAZDA,2_Sedan,Non-EV,S,SEDAN,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
16,430,25-45,Male,Thai,GENERAL,MAZDA,CX-3,Non-EV,M,SUV,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
17,430,25-45,Male,Thai,GENERAL,MAZDA,CX-30,Non-EV,M,SUV,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
18,430,25-45,Male,Thai,GENERAL,MAZDA,CX-5,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
19,430,25-45,Male,Thai,GENERAL,TOYOTA,ALTIS,Non-EV,M,SEDAN,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
20,430,25-45,Male,Thai,GENERAL,TOYOTA,BZ4X,EV,M,SUV,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,4.0
21,430,25-45,Male,Thai,GENERAL,TOYOTA,BZ4X,EV,M,SUV,MEGA STATION,WORK HOURS,WEEKEND,No,0.0,4.0
22,430,25-45,Male,Thai,GENERAL,TOYOTA,C-HR_HYBRID,Non-EV,M,SUV,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,2.0
23,430,25-45,Male,Thai,GENERAL,TOYOTA,COMMUTER,Non-EV,XL,VAN,MEGA STATION,WORK HOURS,WEEKEND,No,0.0,1.0
24,430,25-45,Male,Thai,GENERAL,TOYOTA,CROSS,Non-EV,M,SUV,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,2.0
25,430,25-45,Male,Thai,GENERAL,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
26,430,25-45,Male,Thai,GENERAL,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV,MEGA STATION,WORK HOURS,WEEKEND,No,0.0,1.0
27,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
28,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,LATE NIGHT,WEEKEND,Yes,0.0,1.0
29,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,LEISURE HOURS,WEEKDAY,No,0.0,6.0
30,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKDAY,No,0.0,14.0
31,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKDAY,Yes,0.0,1.0
32,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKEND,No,0.0,2.0
33,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,MEGA STATION,WORK HOURS,WEEKEND,Yes,0.0,1.0
34,430,25-45,Male,Thai,GENERAL,TOYOTA,PRIUS_HYBRID,Non-EV,M,HATCHBACK,MEGA STATION,LATE NIGHT,WEEKEND,No,0.0,1.0
