vehicleid,vehiclebrand,vehiclemodel
504,TOYOTA,VIOS
507,TOYOTA,VIOS
586,MAZDA,3_Hatchback
681,MG,ZS
708,MAZDA,2_Sedan
908,TOYOTA,VIOS
944,ISUZU,D-Max_4_DOOR
988,TOYOTA,ATIV
994,MITSUBISHI,ATTRAGE
1027,MG,3
1098,TOYOTA,YARIS
1099,MITSUBISHI,MIRAGE
1100,NISSAN,MARCH
1101,NISSAN,MARCH
1102,NISSAN,MARCH
1104,SUZUKI,SWIFT
10993,MG,3
11223,HONDA,CITY_Sedan
11225,TOYOTA,YARIS
11227,MAZDA,2_Sedan
11229,TOYOTA,VIOS
11231,TOYOTA,VIOS
13556,HONDA,CITY_Hatchback
13560,TOYOTA,CROSS_HYBRID
13598,HONDA,CIVIC_Sedan
13605,HONDA,BR-V
13715,MINI,COOPER_SE_EV
13716,MINI,COOPER_SE_EV
13717,MINI,COOPER_SE_EV
13733,NISSAN,LEAF
13735,NISSAN,LEAF
13749,HONDA,CIVIC_Sedan
13751,MG,3
13816,HONDA,CITY_Sedan
13859,HONDA,CITY_Sedan
13873,MAZDA,2_Sedan
13938,MAZDA,2_Sedan
13951,NISSAN,ALMERA
13954,NISSAN,NOTE
13995,BMW,IX3
13996,BMW,IX3
13999,HYUNDAI,H-1
14015,MG,ZS_EV
14032,TOYOTA,YARIS
14033,TOYOTA,FORTUNER
14043,NISSAN,ALMERA
14044,MAZDA,2_Sedan
14047,MG,HS
14050,LEXUS,UX_300e
14070,LEXUS,UX_300e
14095,TOYOTA,ATIV
14146,MAZDA,2_Sedan
14164,HONDA,CIVIC_Sedan
14186,TOYOTA,PRIUS_HYBRID
14187,TOYOTA,PRIUS_HYBRID
14189,TOYOTA,PRIUS_HYBRID
14197,TOYOTA,ALPHARD_HYBRID
14199,HONDA,ACCORD
14205,HYUNDAI,H-1
14233,HONDA,CIVIC_Sedan
14249,TOYOTA,SIENTA
14252,TOYOTA,ATIV
14263,TOYOTA,ALTIS
14264,MG,5
14272,BMW,520D
14277,TOYOTA,ATIV
14278,TOYOTA,ATIV
14280,TOYOTA,ATIV
14288,MERCEDES_BENZ,C350e_PHEV
14298,TOYOTA,YARIS
14299,NISSAN,KICKS_e-POWER_HYBRID
14302,HONDA,BR-V
14303,HONDA,CIVIC_Sedan
14307,TOYOTA,CAMRY_HYBRID
14340,MG,5
14355,TOYOTA,YARIS
14356,MAZDA,2_Sedan
14363,HONDA,HR-V
14387,TOYOTA,CAMRY_HYBRID
14399,NISSAN,SYLPHY
14405,TOYOTA,YARIS
14407,HONDA,MOBILIO
14412,BMW,330E_PHEV
14414,TOYOTA,VIOS
14415,HONDA,CITY_Sedan
14416,HONDA,CIVIC_Sedan
14417,TOYOTA,ATIV
14418,TOYOTA,VIOS
14422,TOYOTA,ALPHARD
14434,MG,EP
14435,MG,EP
14436,MG,EP
14437,MG,EP
14441,MG,EP
14445,MAZDA,2_Sedan
14447,TOYOTA,FORTUNER
14453,TOYOTA,VELOZ
14466,HONDA,CITY_Hatchback
14469,ORA,GOODCAT
14479,SUZUKI,SWIFT
14481,MITSUBISHI,ATTRAGE
14498,TOYOTA,YARIS
14525,MITSUBISHI,XPANDER
14529,MG,ZS_EV
14530,MG,ZS_EV
14531,MG,ZS_EV
14532,MG,ZS_EV
14533,MG,EP
14534,MG,EP
14535,MG,EP
14536,MG,EP
14537,MG,EP
14538,MG,EP
14539,MG,EP
14540,MG,EP
14541,MG,EP
14542,MG,EP
14547,TOYOTA,ATIV
14552,HONDA,HR-V
14574,SUZUKI,SWIFT
14575,MITSUBISHI,ATTRAGE
14580,MG,EP
14581,NETA,V
14586,NISSAN,JUKE
14597,FORD,EVEREST
14605,MG,4
14609,MAZDA,2_Sedan
14613,MG,5
14638,TOYOTA,VIOS
14671,VOLT,CITY
14672,VOLT,CITY
14673,VOLT,CITY
14674,VOLT,CITY
14675,VOLT,CITY
14677,MG,VS_HYBRID
14694,SUZUKI,CIAZ
14695,TOYOTA,ATIV
14702,BMW,220I
14704,HYUNDAI,H-1
14706,HONDA,CITY_Sedan
14710,TOYOTA,YARIS
14715,MAZDA,3_Hatchback
14719,BMW,520I
14720,MG,EP
14722,HONDA,CITY_Sedan
14725,HYUNDAI,H-1
14726,BYD,ATTO_3
14729,BYD,ATTO_3
14732,BYD,ATTO_3
14733,BYD,ATTO_3
14734,NISSAN,NAVARA_2_DOOR
14735,NISSAN,NOTE
14737,TOYOTA,CAMRY
14739,TOYOTA,FORTUNER
14741,BMW,320D
14755,TOYOTA,INNOVA
14756,TOYOTA,INNOVA
14757,TOYOTA,INNOVA
14758,TOYOTA,COMMUTER
14773,HONDA,CITY_Hatchback
14778,TOYOTA,ATIV
14779,MERCEDES_BENZ,E300e_PHEV
14783,MITSUBISHI,PAJERO_SPORT
14786,MAZDA,CX-30
14787,HONDA,CITY_Sedan
14798,HONDA,CITY_Hatchback
14799,TOYOTA,ALTIS_HYBRID
